flag;this;depth;left;right;objects;volume
[DBG] ;0x139b220;5;0x139d590;0x139d600;0;0
[DBG] ;0x139d590;6;0x139d670;0x139d6e0;0;0
[DBG] ;0x139d670;7;0x139d750;0x139d7c0;0;0
[DBG] ;0x139d750;8;0x139d830;0x139d8a0;0;0.0278054
[DBG] ;0x139d830;9;0x139d910;0x139d980;0;0.0278054
[DBG] ;0x139d910;10;0x139d9f0;0x139da60;0;0.0278054
[DBG] ;0x139d9f0;11;0x139dad0;0x139db40;0;0.0278054
[DBG] ;0x139dad0;12;0x139dbb0;0x139dc20;0;0.0278054
[DBG] ;0x139dbb0;13;0x139dc90;0x139dd00;0;0.0278054
[DBG] ;0x139dc90;14;0x139dd70;0x139dde0;0;0.0278054
[DBG] ;0x139dd70;15;0;0;19;0.0278054
[DBG] ;0x139dde0;15;0;0;4;0
[DBG] ;0x139dd00;14;0x139de50;0x139dec0;0;0
[DBG] ;0x139de50;15;0;0;18;0
[DBG] ;0x139dec0;15;0;0;4;0
[DBG] ;0x139dc20;13;0;0;0;0
[DBG] ;0x139db40;12;0;0;4;0
[DBG] ;0x139da60;11;0x139df30;0x139dfa0;0;0
[DBG] ;0x139df30;12;0x139e010;0x139e080;0;0
[DBG] ;0x139e010;13;0x139e0f0;0x139e160;0;0
[DBG] ;0x139e0f0;14;0x139e1d0;0x139e240;0;0.0322838
[DBG] ;0x139e1d0;15;0;0;18;0.0322838
[DBG] ;0x139e240;15;0;0;4;0
[DBG] ;0x139e160;14;0x139e2b0;0x139e320;0;-0.0322838
[DBG] ;0x139e2b0;15;0;0;12;-0.0138855
[DBG] ;0x139e320;15;0;0;10;-0.0183983
[DBG] ;0x139e080;13;0;0;1;0
[DBG] ;0x139dfa0;12;0;0;4;0
[DBG] ;0x139d980;10;0;0;0;0
[DBG] ;0x139d8a0;9;0;0;4;0
[DBG] ;0x139d7c0;8;0x139e390;0x139e400;0;-0.0278054
[DBG] ;0x139e390;9;0x139e470;0x139e4e0;0;-0.0278054
[DBG] ;0x139e470;10;0x139e550;0x139e5c0;0;-0.0242133
[DBG] ;0x139e550;11;0x139e630;0x139e6a0;0;0.0322838
[DBG] ;0x139e630;12;0x139e710;0x139e780;0;0.0322838
[DBG] ;0x139e710;13;0x139e7f0;0x139e860;0;0.0322838
[DBG] ;0x139e7f0;14;0x139e8d0;0x139e940;0;0.0322838
[DBG] ;0x139e8d0;15;0;0;18;0.0322838
[DBG] ;0x139e940;15;0;0;4;0
[DBG] ;0x139e860;14;0x139e9b0;0x139ea20;0;0
[DBG] ;0x139e9b0;15;0;0;12;0
[DBG] ;0x139ea20;15;0;0;10;0
[DBG] ;0x139e780;13;0;0;1;0
[DBG] ;0x139e6a0;12;0;0;4;0
